From	To
P16949	P16949
Q15554	Q15554
Q96BY6	Q96BY6
Q8TAQ2	Q8TAQ2
O15439	O15439
Q15025	Q15025
Q8WUF5	Q8WUF5
Q5VZL5	Q5VZL5
Q9P2C4	Q9P2C4
Q96JC9	Q96JC9
Q92499	Q92499
O75112	O75112
Q92508	Q92508
Q9Y426	Q9Y426
Q9UBP0	Q9UBP0
Q7Z6J2	Q7Z6J2
O60524	O60524
P48681	P48681
Q96AC1	Q96AC1
Q14676	Q14676
Q9NXG2	Q9NXG2
Q12959	Q12959
Q9P206	Q9P206
O43164	O43164
Q5BKX8	Q5BKX8
P02686	P02686
Q9H4A3	Q9H4A3
Q96S38	Q96S38
Q9UJU5	Q9UJU5
Q16623	Q16623
P61266	P61266
O75962	O75962
O94979	O94979
Q99460	Q99460
Q9Y3S2	Q9Y3S2
Q9Y487	Q9Y487
Q5VSL9	Q5VSL9
Q9Y5X1	Q9Y5X1
Q99700	Q99700
Q5VYS8	Q5VYS8
Q9H2G2	Q9H2G2
P48454	P48454
Q15052	Q15052
Q8N5D0	Q8N5D0
Q9UMX1	Q9UMX1
P07948	P07948
Q9HCN4	Q9HCN4
O60303	O60303
Q99584	Q99584
Q5JTD0	Q5JTD0
Q9Y6X9	Q9Y6X9
Q3V6T2	Q3V6T2
Q9NVM9	Q9NVM9
O95197	O95197
Q8ND30	Q8ND30
P23511	P23511
Q9C0B5	Q9C0B5
Q969E4	Q969E4
Q96QZ7	Q96QZ7
Q9HBL0	Q9HBL0
O43166	O43166
Q13637	Q13637
O94887	O94887
Q9NUQ6	Q9NUQ6
Q8TC07	Q8TC07
Q9Y4K1	Q9Y4K1
Q9UPQ0	Q9UPQ0
Q9H2J7	Q9H2J7
Q86V15	Q86V15
P60866	P60866
Q9NPF5	Q9NPF5
Q9UBL3	Q9UBL3
Q96PU5	Q96PU5
Q9C0C2	Q9C0C2
Q86WB0	Q86WB0
Q5JVS0	Q5JVS0
P43243	P43243
Q8N0X7	Q8N0X7
Q9H4L7	Q9H4L7
Q05209	Q05209
O75534	O75534
O00159	O00159
Q8WZA9	Q8WZA9
Q6UWJ1	Q6UWJ1
P34947	P34947
Q8TAD7	Q8TAD7
Q8NFC6	Q8NFC6
Q15185	Q15185
Q9Y2H1	Q9Y2H1
Q9BQE3	Q9BQE3
Q7Z417	Q7Z417
P35609	P35609
Q9BVJ6	Q9BVJ6
Q9H4G0	Q9H4G0
P51858	P51858
Q8IV56	Q8IV56
Q9Y4D1	Q9Y4D1
Q9P2I0	Q9P2I0
P55010	P55010
P07910	P07910
Q5TCZ1	Q5TCZ1
Q5T481	Q5T481
Q8N3D4	Q8N3D4
Q15545	Q15545
O14523	O14523
P50570	P50570
Q3KQU3	Q3KQU3
Q14324	Q14324
Q2T9K0	Q2T9K0
Q8WXH0	Q8WXH0
Q86YP4	Q86YP4
O75674	O75674
Q13409	Q13409
Q9UKV3	Q9UKV3
Q8N556	Q8N556
Q9Y4E5	Q9Y4E5
P46939	P46939
Q7Z569	Q7Z569
Q8TER5	Q8TER5
P18583	P18583
Q92823	Q92823
Q7Z7B0	Q7Z7B0
O75381	O75381
O14646	O14646
Q7Z7G8	Q7Z7G8
P35611	P35611
Q8N163	Q8N163
Q9NTI5	Q9NTI5
Q9C0C9	Q9C0C9
Q8WWM7	Q8WWM7
Q9Y5B0	Q9Y5B0
Q92538	Q92538
Q14839	Q14839
Q9HB58	Q9HB58
Q63HN8	Q63HN8
Q69YN4	Q69YN4
Q9UMZ2	Q9UMZ2
Q9Y2L9	Q9Y2L9
Q92785	Q92785
Q5T200	Q5T200
A1A4S6	A1A4S6
Q8NHZ8	Q8NHZ8
O43242	O43242
Q9Y235	Q9Y235
Q12846	Q12846
Q9UKY1	Q9UKY1
Q9P2R6	Q9P2R6
Q9UBB9	Q9UBB9
P23588	P23588
Q96B23	Q96B23
Q8N3F8	Q8N3F8
Q8IWB9	Q8IWB9
Q8TDD1	Q8TDD1
O94988	O94988
Q13029	Q13029
Q8IYB7	Q8IYB7
Q9NWZ8	Q9NWZ8
Q9Y3E1	Q9Y3E1
Q8NDV7	Q8NDV7
P53985	P53985
Q9BT43	Q9BT43
Q9NRS6	Q9NRS6
Q8N1G4	Q8N1G4
Q9Y4G6	Q9Y4G6
P14625	P14625
P07900	P07900
Q8IXW5	Q8IXW5
Q99442	Q99442
O00567	O00567
P41229	P41229
P55196	P55196
Q96MP8	Q96MP8
Q13439	Q13439
Q9Y2X3	Q9Y2X3
Q00613	Q00613
P05412	P05412
Q9NR30	Q9NR30
Q14766	Q14766
Q9NVU0	Q9NVU0
Q5R372	Q5R372
Q96CW1	Q96CW1
Q92797	Q92797
O00193	O00193
P05388	P05388
Q01804	Q01804
Q8N4C8	Q8N4C8
Q8NBJ4	Q8NBJ4
Q9UKL0	Q9UKL0
Q9UJX5	Q9UJX5
P21817	P21817
P09211	P09211
Q96CW6	Q96CW6
P80303	P80303
Q9Y3X0	Q9Y3X0
Q08357	Q08357
Q9NYV6	Q9NYV6
Q13045	Q13045
Q6NZI2	Q6NZI2
O00264	O00264
P49321	P49321
Q9BZQ8	Q9BZQ8
P20810	P20810
P55011	P55011
Q9NSC5	Q9NSC5
P41743	P41743
Q6PHR2	Q6PHR2
Q92503	Q92503
Q08945	Q08945
O75351	O75351
Q96CX2	Q96CX2
Q15651	Q15651
P53367	P53367
Q13287	Q13287
O75179	O75179
Q9H307	Q9H307
O00139	O00139
Q96NE9	Q96NE9
Q8IWA0	Q8IWA0
O75643	O75643
P20936	P20936
P42858	P42858
O95684	O95684
Q92504	Q92504
Q15291	Q15291
Q9NRL2	Q9NRL2
Q8TD19	Q8TD19
P16157	P16157
Q86T65	Q86T65
Q9Y217	Q9Y217
Q8IVL6	Q8IVL6
Q01105	Q01105
Q9BZV1	Q9BZV1
Q12873	Q12873
Q99543	Q99543
O75683	O75683
O95453	O95453
O95628	O95628
Q9Y266	Q9Y266
Q01484	Q01484
Q96EE3	Q96EE3
Q04656	Q04656
P53999	P53999
O43765	O43765
Q9Y4F5	Q9Y4F5
O75781	O75781
P14209	P14209
Q9HAU5	Q9HAU5
P53671	P53671
Q9UN37	Q9UN37
Q8TEQ6	Q8TEQ6
Q9P260	Q9P260
P21359	P21359
P23193	P23193
O75363	O75363
P28715	P28715
Q9H2Y7	Q9H2Y7
Q6Y7W6	Q6Y7W6
Q9Y613	Q9Y613
Q53TN4	Q53TN4
Q96RU2	Q96RU2
P30622	P30622
Q92913	Q92913
A0FGR8	A0FGR8
Q8NEL9	Q8NEL9
P54105	P54105
Q5TC84	Q5TC84
Q6P0Q8	Q6P0Q8
Q9NP74	Q9NP74
P50443	P50443
Q9H8W5	Q9H8W5
Q13107	Q13107
P06732	P06732
Q8NEZ4	Q8NEZ4
Q92692	Q92692
Q5JRA6	Q5JRA6
Q9C073	Q9C073
Q9UDY2	Q9UDY2
Q9UPT6	Q9UPT6
Q15678	Q15678
Q9Y3L3	Q9Y3L3
P19022	P19022
Q9NYF0	Q9NYF0
Q96TC7	Q96TC7
O43303	O43303
O95218	O95218
Q8IUG5	Q8IUG5
Q86W56	Q86W56
Q9BW71	Q9BW71
O14976	O14976
Q96QT4	Q96QT4
Q86SQ7	Q86SQ7
O75528	O75528
P23443	P23443
Q8N1I0	Q8N1I0
Q9Y5B9	Q9Y5B9
P25788	P25788
Q9H992	Q9H992
Q9UKA4	Q9UKA4
Q9H1K0	Q9H1K0
Q58FG0	Q58FG0
Q02040	Q02040
Q8TDZ2	Q8TDZ2
Q8N108	Q8N108
Q5T0F9	Q5T0F9
Q5SY16	Q5SY16
Q9NQS3	Q9NQS3
Q7Z401	Q7Z401
Q13554	Q13554
P16070	P16070
Q9Y450	Q9Y450
Q01082	Q01082
Q14693	Q14693
O94854	O94854
Q9UBH6	Q9UBH6
P62987	P62987
Q13127	Q13127
Q6PKG0	Q6PKG0
P84157	P84157
Q15424	Q15424
Q8NHP6	Q8NHP6
Q9BQA1	Q9BQA1
P19634	P19634
P49137	P49137
Q9UPN6	Q9UPN6
Q96K76	Q96K76
Q8IVF7	Q8IVF7
Q16666	Q16666
Q13501	Q13501
Q9P287	Q9P287
Q9NQX3	Q9NQX3
Q9Y3P9	Q9Y3P9
Q96MF2	Q96MF2
O95922	O95922
Q9H6X2	Q9H6X2
Q5JSZ5	Q5JSZ5
Q8WYA6	Q8WYA6
Q96RS0	Q96RS0
P07814	P07814
O43324	O43324
Q9HCD6	Q9HCD6
O75923	O75923
P08670	P08670
O60307	O60307
O15027	O15027
P50747	P50747
P05455	P05455
Q8TBZ3	Q8TBZ3
Q8TF01	Q8TF01
P49756	P49756
Q9UPZ3	Q9UPZ3
Q9BX66	Q9BX66
Q9NV70	Q9NV70
O75069	O75069
Q9NQP4	Q9NQP4
Q969V6	Q969V6
Q9UBC2	Q9UBC2
P40763	P40763
P15374	P15374
O43815	O43815
Q9BZI7	Q9BZI7
Q9H0W5	Q9H0W5
Q08AE8	Q08AE8
Q00688	Q00688
Q5VT25	Q5VT25
P85299	P85299
Q96Q05	Q96Q05
P36404	P36404
Q8IWW6	Q8IWW6
Q9ULV5	Q9ULV5
O14639	O14639
O14681	O14681
P62070	P62070
Q7Z478	Q7Z478
Q9P2B4	Q9P2B4
O75152	O75152
Q86UW6	Q86UW6
Q15942	Q15942
Q9H2M9	Q9H2M9
Q8NCW6	Q8NCW6
O95359	O95359
Q9Y6E2	Q9Y6E2
Q15652	Q15652
Q13428	Q13428
Q8N9B5	Q8N9B5
Q9H7N4	Q9H7N4
P16455	P16455
Q07065	Q07065
P12270	P12270
Q13136	Q13136
O00192	O00192
Q9Y4E8	Q9Y4E8
Q8TED9	Q8TED9
Q53GL0	Q53GL0
Q06413	Q06413
Q2M1Z3	Q2M1Z3
O43395	O43395
Q70EL1	Q70EL1
Q12830	Q12830
Q96EZ8	Q96EZ8
Q92733	Q92733
P13861	P13861
Q8ND56	Q8ND56
Q5JTH9	Q5JTH9
Q5VWQ8	Q5VWQ8
Q9UQE7	Q9UQE7
Q9NSI2	Q9NSI2
Q9BRJ6	Q9BRJ6
Q53T59	Q53T59
Q12906	Q12906
P58546	P58546
Q6PD62	Q6PD62
A8MW95	A8MW95
Q9UPU7	Q9UPU7
Q5BKZ1	Q5BKZ1
O95466	O95466
Q8TCT9	Q8TCT9
Q13435	Q13435
P21291	P21291
Q14814	Q14814
Q14847	Q14847
Q765P7	Q765P7
Q6NZ67	Q6NZ67
Q86UU1	Q86UU1
Q13017	Q13017
Q9UQR1	Q9UQR1
Q99459	Q99459
Q9UHR5	Q9UHR5
Q9UK61	Q9UK61
P04083	P04083
Q9UKS6	Q9UKS6
P78527	P78527
P04439	P04439
Q5VT97	Q5VT97
Q06124	Q06124
Q16659	Q16659
Q53LP3	Q53LP3
Q96I15	Q96I15
P27448	P27448
Q9Y6X8	Q9Y6X8
P04075	P04075
O75925	O75925
O75821	O75821
Q15464	Q15464
Q8IVL1	Q8IVL1
O00203	O00203
P63208	P63208
P41227	P41227
Q5R3F8	Q5R3F8
O75764	O75764
O60784	O60784
Q9Y4E1	Q9Y4E1
